Ensembl_Gene_ID,ms_restriction,ms_healthy_somatic_tissues,ms_pmids
ENSG00000178997,SINGLETON_HEALTHY,blood,29557506;32983136;33858848;35051231
ENSG00000162771,CANCER_ONLY,,25576301
ENSG00000215269,CANCER_ONLY,,27600516;27869121;32157095
ENSG00000159289,RECURRENT_HEALTHY,blood;spleen,24715725;29557506;32387766;32938616;33298915;33858848;33968037;34087483;34509645;35051231;35580925;38480730
ENSG00000140478,RECURRENT_HEALTHY,blood;spleen,24715725;29557506;32387766;32938616;33298915;33858848;33968037;34087483;34509645;35051231;35580925;38480730
ENSG00000277322,CANCER_ONLY,,29242379;32938616
ENSG00000187475,RECURRENT_HEALTHY,adrenal gland;bladder;blood;bone marrow;breast;central nervous system (cns);colon;kidney;liver;lung;pancreas;skin;small intestine;spleen;trachea,20934997;24714562;24715725;25576301;26154972;26992070;27841757;27846572;28218747;28228285;28832583;28855257;29242379;29393594;29493099;29508533;29557506;29786170;29789417;30429286;30524438;31154438;31217245;31844290;31848261;31998317;32157095;32357974;32387766;32897882;32938616;32983136;33298915;33592498;33858848;33936100;33968037;34087483;34171305;34211107;34509645;35051231;35318648;35580925;36241641;36284347;38480730;40113210
ENSG00000146047,RECURRENT_HEALTHY,adrenal gland;aorta;bladder;blood;bone marrow;brain;central nervous system (cns);cerebellum;colon;esophagus;gallbladder;heart;kidney;liver;lung;lymph node;muscle;pancreas;skin;small intestine;spleen;thyroid;tongue;trachea,11466336;15104674;17308301;18991276;20112406;20707881;21872626;21993680;23783831;24714562;24715725;25418920;25576301;25645385;25880248;25892735;26154972;26375851;26758079;26811146;26824387;26929215;26992070;27397612;27600516;27846572;27862975;27920218;28063628;28188227;28218747;28228285;28514659;28832583;28834231;28904123;29242379;29393594;29437277;29493099;29508533;29557506;29632046;29632711;29769354;29786170;29789417;30192525;30315122;30429286;30524438;30779550;30833945;31154438;31217245;31222486;31530632;31844290;31848261;31998317;32157095;32161166;32265295;32357974;32387766;32488085;32897882;32938616;32983136;33123756;33141586;33298915;33392160;33592498;33691108;33717175;33858848;33912179;33936100;33968037;33981976;34087483;34171305;34509645;34561969;34932366;35051231;35318648;35580925;36010968;36241641;36284347;37938771;38480730;40051755;40113210
ENSG00000226650,RECURRENT_HEALTHY,blood;central nervous system (cns);spleen,21872626;23481700;24366607;24714562;24715725;25418920;25576301;26360328;26811146;26992070;27543614;27841757;27846572;27920218;28063628;28188227;28832583;28834231;28904123;29242379;29393594;29493099;29508533;29557506;29632046;29786170;30429286;30484775;30524438;30833945;31092671;31530632;31844290;31848261;32157095;32161166;32357974;32387766;32488085;32897882;32938616;32983136;33141586;33298915;33592498;33633747;33691108;33717175;33858848;33912179;33936100;33968037;33981976;34087483;34171305;34211107;34509645;34932366;35051231;35561310;36010968;36284347;38480730;40113210
ENSG00000250741,SINGLETON_HEALTHY,spleen,28904123;29557506;30410026;31844290;32357974;33912179;35051231
ENSG00000163114,SINGLETON_HEALTHY,spleen,26992070;28188227;28218747;28514659;28832583;28904123;29242379;29393594;29437277;29632046;30315122;30410026;30429286;31530632;31844290;32157095;32265295;32387766;33633747;33912179;33968037;34093574;34171305;35051231;35561310;38480730;40113210
ENSG00000170950,RECURRENT_HEALTHY,bladder;bone marrow;lung,21209280;25418920;25645385;25810538;26154972;26375851;26783342;26824387;27846572;28218747;28228285;28514659;28904123;29242379;29437277;29508533;29557506;29789417;30315122;31154438;31217245;31844290;31848261;31998317;32157095;32265295;32357974;32387766;32938616;33298915;33592498;33717175;33858848;33912179;33936100;33968037;34509645;35051231;36010968;38480730;40113210
ENSG00000170748,RECURRENT_HEALTHY,blood;esophagus;liver;spleen,24714562;25418920;25645385;26154972;26783342;26929215;26992070;28188227;28228285;28649982;28832583;28834231;29242379;29393594;29493099;29557506;29786170;30192525;30524438;30779550;31154438;31844290;31848261;32157095;32265295;32357974;32387766;32938616;32983136;33537174;33592498;33717175;33858848;33968037;33981976;34087483;34171305;34185709;34509645;35051231;35580925;36010968;38480730;40113210
ENSG00000244395,RECURRENT_HEALTHY,esophagus;spleen,29557506;31495665;33858848;35526384
ENSG00000169800,RECURRENT_HEALTHY,esophagus;spleen,29557506;31495665;33858848;35051231;35526384
ENSG00000196862,RECURRENT_HEALTHY,adrenal gland;aorta;bladder;blood;bone marrow;brain;breast;central nervous system (cns);cerebellum;colon;esophagus;heart;kidney;liver;lung;lymph node;muscle;pancreas;skin;small intestine;spleen;thyroid;tongue;trachea,16115862;22645359;23481700;24714562;24715725;25135637;25418920;25576301;25645385;25810538;25880248;25892735;26154972;26360328;26375851;26783342;26929215;26992070;27397612;27543614;27600516;27846572;27862975;27920218;28063628;28188227;28218747;28228285;28514659;28649982;28832583;28834231;28904123;29242379;29331515;29393594;29437277;29493099;29508533;29557506;29632046;29632711;29769354;29786170;30315122;30410026;30429286;30484775;30524438;30779550;30833945;31092671;31154438;31217245;31495665;31530632;31844290;31848261;31998317;32157095;32161166;32265295;32357974;32387766;32488085;32897882;32938616;32983136;33298915;33592498;33633747;33691108;33717175;33858848;33912179;33936100;33968037;33981976;34087483;34171305;34509645;34561969;35051231;35318648;35561310;35580925;36010968;36215666;36241641;36284347;37938771;38480730;40113210
ENSG00000141437,SINGLETON_HEALTHY,cerebellum,27846572;27920218;28218747;28228285;28834231;29437277;31844290;33858848;33936100;36284347
ENSG00000198870,CANCER_ONLY,,28218747;29437277;29557506
ENSG00000166069,CANCER_ONLY,,31154438;31844290
ENSG00000006047,RECURRENT_HEALTHY,adrenal gland;aorta;bladder;blood;bone marrow;colon;esophagus;heart;kidney;lung;pancreas;spleen;thyroid;tongue;trachea,18160138;20112406;23481700;25418920;25576301;25645385;26154972;26783342;26929215;27846572;27920218;28063628;28188227;28228285;28904123;29242379;29393594;29508533;29557506;29632046;29786170;30192525;30315122;30779550;31154438;31495665;31530632;31844290;31848261;31998317;32157095;32161166;32265295;32357974;32387766;32938616;32983136;33298915;33537174;33592498;33858848;33968037;34087483;34561969;34932366;35051231;35561310;35580925;36010968;37938771
ENSG00000118491,CANCER_ONLY,,33691108
