Ensembl_Gene_ID,ms_restriction,ms_healthy_somatic_tissues,ms_pmids
ENSG00000189357,CANCER_ONLY,,27920218;29557506;29769354;29789417;30192525;31217245;31844290;32387766;33298915;33968037;34171305;34211107
ENSG00000184361,CANCER_ONLY,,28228285;33141586;34087483;36010968
ENSG00000118434,NO_MS_DATA,,25892735;35051231
ENSG00000141316,NO_MS_DATA,,29557506
ENSG00000174898,CANCER_ONLY,,26992070;29557506;29789417;30192525;35051231
ENSG00000188782,RECURRENT_HEALTHY,bladder;blood,29557506;29769354;31844290;33858848;34171305;35051231
ENSG00000268651,CANCER_ONLY,,15004033;15837811;17644531;24829406;25854582;27869121;28536262;31844290;32745760;32938616;32983136;36426971;38480730
ENSG00000184033,CANCER_ONLY,,15004033;15837811;17644531;24829406;25854582;27869121;28536262;31844290;32745760;32938616;32983136;36426971;38480730
ENSG00000212710,RECURRENT_HEALTHY,adrenal gland;blood;bone marrow;liver;lung,24714562;25576301;27841757;28218747;28832583;29242379;29393594;29493099;29557506;29786170;30315122;30429286;31154438;31217245;31844290;31848261;32157095;32357974;32938616;32983136;33298915;33858848;33912179;33968037;34932366;35580925;38480730;38740147;40113210
ENSG00000271321,RECURRENT_HEALTHY,blood;spleen,24715725;25576301;27841757;29557506;31844290;32387766;32938616;32983136;33912179;33968037;33981976;34561969;35580925;38740147;40113210
ENSG00000236761,RECURRENT_HEALTHY,blood;spleen,24715725;25576301;28228285;28904123;29393594;29557506;30429286;31154438;31844290;32387766;32938616;32983136;33912179;33968037;34087483;34561969;35580925;38480730;38740147;40113210
ENSG00000126752,CANCER_ONLY,,26811146;28649982;32488085;33968037
ENSG00000241476,CANCER_ONLY,,21904219;24715725;25645385;30484775;32157095;38480730
ENSG00000268447,CANCER_ONLY,,21904219;24715725;25645385;30484775;32157095;38480730
ENSG00000165584,CANCER_ONLY,,21904219;25645385;32157095
ENSG00000268009,CANCER_ONLY,,24715725;31937595;32157095
ENSG00000258992,CANCER_ONLY,,27600516;37938771
ENSG00000168757,CANCER_ONLY,,27600516;37938771
ENSG00000228927,CANCER_ONLY,,27600516;37938771
ENSG00000233803,CANCER_ONLY,,27600516;37938771
ENSG00000229549,CANCER_ONLY,,27600516;37938771
ENSG00000236424,CANCER_ONLY,,27600516;37938771
ENSG00000178021,CANCER_ONLY,,27846572;32161166;36284347
ENSG00000114487,EXPECTED_TISSUE,,23481700;24715725;25576301;32938616;33858848;35051231
ENSG00000183434,CANCER_ONLY,,24715725;25576301;26360328;26783342;28228285;30315122;30779550;31092671;31844290;32161166;33691108;33912179;35051231;36010968;36284347
ENSG00000104901,NO_MS_DATA,,24715725;29632046
ENSG00000054796,SINGLETON_HEALTHY,spleen,28188227;31495665;31844290;32938616
ENSG00000274391,CANCER_ONLY,,29557506;31844290;32488085;32938616;35051231
ENSG00000271449,CANCER_ONLY,,20112406;27869121;28063628;29393594;29632046;31222486;31848261;32938616;33691108;38480730
ENSG00000273696,CANCER_ONLY,,20112406;27869121;28063628;29393594;29632046;31222486;31848261;32938616;33691108;38480730
ENSG00000236371,CANCER_ONLY,,20112406;24715725;32938616
ENSG00000242362,CANCER_ONLY,,20112406;24715725;32938616
ENSG00000236126,CANCER_ONLY,,20112406;24715725;32938616
ENSG00000230594,CANCER_ONLY,,20112406;24715725;32938616
ENSG00000237957,CANCER_ONLY,,20112406;24715725;32938616
ENSG00000226023,CANCER_ONLY,,20112406;24715725;32938616
ENSG00000228517,CANCER_ONLY,,20112406;24715725;32938616
ENSG00000226929,CANCER_ONLY,,20112406;24715725;32938616
ENSG00000226685,CANCER_ONLY,,20112406;24715725;32938616
ENSG00000236446,EXPECTED_TISSUE,,29557506;32488085;32938616;33141586;33858848;35580925
ENSG00000268629,CANCER_ONLY,,25576301;31844290;31848261;33981976;35051231
ENSG00000182459,CANCER_ONLY,,28228285;31844290
ENSG00000103023,CANCER_ONLY,,30779550;31844290;32938616;34211107
ENSG00000010318,NO_MS_DATA,,24715725
ENSG00000205359,SINGLETON_HEALTHY,bone marrow,24715725;29557506;35051231;38740147
ENSG00000153060,SINGLETON_HEALTHY,spleen,29557506;35051231
ENSG00000137090,EXPECTED_TISSUE,,29557506;30410026;31844290;35580925
ENSG00000142025,CANCER_ONLY,,32488085;35051231
ENSG00000179407,RECURRENT_HEALTHY,blood;bone marrow;central nervous system (cns);esophagus;skin;thyroid;trachea,26154972;26992070;27397612;27841757;29557506;30429286;31154438;31844290;31848261;32938616;33141586;33392160;33858848;34932366;35580925;36284347;37938771
ENSG00000181433,SINGLETON_HEALTHY,blood,27862975;27869121;28832583;29242379;31092671;31154438;31844290;32488085;32938616;32983136;33592498;35051231;35580925;38480730
ENSG00000104755,CANCER_ONLY,,28832583;29789417;35051231
ENSG00000170965,CANCER_ONLY,,23604623;31217245;31495665;33968037
ENSG00000145309,SINGLETON_HEALTHY,central nervous system (cns),23481700;24715725;29393594;29557506;35051231
ENSG00000147378,RECURRENT_HEALTHY,heart;muscle,33858848
ENSG00000143452,CANCER_ONLY,,26992070;30484775;31495665;32938616;36215666
ENSG00000126467,CANCER_ONLY,,25892735;28832583;28834231;28904123;30315122;31530632;34087483;35051231;35561310;35580925
ENSG00000161973,SINGLETON_HEALTHY,heart,23481700;24715725;29557506;31154438
ENSG00000164113,SINGLETON_HEALTHY,blood,31154438;31844290;32488085;33392160;34171305
ENSG00000275793,RECURRENT_HEALTHY,blood;central nervous system (cns);lung;spleen,26992070;27920218;28228285;28832583;28834231;28855257;28904123;29393594;29557506;29632046;30429286;30784271;31217245;31844290;32157095;32161166;32265295;32357974;32387766;32938616;32983136;33141586;33298915;33392160;33858848;33912179;33968037;33981976;34171305;34509645;35051231;35580925;36010968;36241641;38480730
ENSG00000174016,RECURRENT_HEALTHY,adrenal gland;bladder;blood;bone marrow;central nervous system (cns);colon;esophagus;liver;lung;lymph node;small intestine;spleen;thyroid;tongue;trachea,23481700;24715725;25418920;26992070;27600516;28832583;29393594;29557506;29786170;30192525;30429286;30484775;31844290;31998317;32157095;32161166;32983136;33858848;35051231;35318648;35580925;36215666;36241641;36284347;38480730
ENSG00000185686,SINGLETON_HEALTHY,blood,20112406;22424782;23481700;25548167;25645385;26992070;27600516;27869121;28218747;28514659;28628042;28834231;28904123;29242379;29393594;29437277;29557506;29632046;29712860;29786170;30524438;31217245;31222486;31495665;31575892;31844290;31848261;32157095;32161166;32265295;32357974;32387766;32488085;32897882;32938616;33141586;33691108;33858848;33912179;34171305;34290406;34509645;35051231;35580925;36010968;36241641;38480730;38740147;40008881
ENSG00000104804,CANCER_ONLY,,34087483;35051231
ENSG00000117148,CANCER_ONLY,,17697703;23481700;24397554;25418920;26154972;26375851;26992070;27920218;28904123;29632046;30315122;31530632;31998317;32357974;33298915;33912179;34171305
ENSG00000181323,NO_MS_DATA,,23481700;24715725;26154972;28832583
ENSG00000122304,NO_MS_DATA,,24715725
ENSG00000147081,SINGLETON_HEALTHY,spleen,28188227;31848261;34087483;34405274;35051231
ENSG00000213030,CANCER_ONLY,,29632711;32161166;34211107
ENSG00000183668,CANCER_ONLY,,29557506;31530632;32157095;32938616;35051231;36284347;8574469
