gene_id,symbol,cancer,cancer_type,cohort,samples,mean_ptpm,max_ptpm,expressed_samples_ptpm_ge_0_1,prevalence_ptpm_ge_0_1,expressed_samples_ptpm_ge_1,prevalence_ptpm_ge_1,expressed_samples_ptpm_ge_2,prevalence_ptpm_ge_2,expressed_samples_ptpm_ge_5,prevalence_ptpm_ge_5
ENSG00000046774,MAGEC2,Testicular Germ Cell Tumor (TCGA),Testicular Germ Cell Tumor,TCGA,133,9.2033,78.888,79,0.5939849624060151,70,0.5263157894736842,66,0.4962406015037593,53,0.3984962406015037
ENSG00000046774,MAGEC2,Thyroid Carcinoma (TCGA),Thyroid Carcinoma,TCGA,495,0.0009581818181818,0.1363,1,0.002020202020202,0,0.0,0,0.0,0,0.0
ENSG00000046774,MAGEC2,Uterine Corpus Endometrial Carcinoma (TCGA),Uterine Corpus Endometrial Carcinoma,TCGA,176,1.385242045454545,164.3,29,0.1647727272727272,11,0.0625,8,0.0454545454545454,5,0.0284090909090909
ENSG00000054796,SPO11,Bladder Urothelial Carcinoma (TCGA),Bladder Urothelial Carcinoma,TCGA,169,0.0025976331360946,0.2317,1,0.0059171597633136,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Breast Invasive Carcinoma (TCGA),Breast Invasive Carcinoma,TCGA,1022,0.0451735812133072,38.3024,6,0.0058708414872798,2,0.0019569471624266,2,0.0019569471624266,1,0.0009784735812133
ENSG00000054796,SPO11,Breast Invasive Carcinoma (validation),Breast Invasive Carcinoma,validation,50,0.017292,0.5529,2,0.04,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,TCGA,283,0.0126293286219081,0.2532,9,0.0318021201413427,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Colon Adenocarcinoma (TCGA),Colon Adenocarcinoma,TCGA,254,0.0054287401574803,0.655,3,0.0118110236220472,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Colon Adenocarcinoma (validation),Colon Adenocarcinoma,validation,486,0.0080997942386831,0.2573,18,0.037037037037037,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Glioblastoma Multiforme (TCGA),Glioblastoma Multiforme,TCGA,141,0.0049815602836879,0.2122,2,0.0141843971631205,0,0.0,0,0.0,0,0.0
