Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,rna_max_ntpm,never_expressed
H2BC3,HIST1H2BB,,cancer-testis antigen,ENSG00000276410,daSilva2017_protein,False,False,Supported,False,True,adipose tissue; adrenal gland; appendix; bone marrow; breast; bronchus; caudate; cerebellum; cerebral cortex; cervix; colon; duodenum; endometrium 1; endometrium 2; epididymis; esophagus; fallopian tube; gallbladder; heart muscle; hippocampus; kidney; liver; lung; lymph node; nasopharynx; oral mucosa; ovary; pancreas; parathyroid gland; placenta; prostate; rectum; salivary gland; seminal vesicle; skeletal muscle; skin 1; skin 2; small intestine; smooth muscle; soft tissue 1; soft tissue 2; spleen; stomach 1; stomach 2; testis; thyroid gland; tonsil; urinary bladder; vagina,0.3333,0.4694,1.0,1.0,ENST00000615966,protein_coding,True,True,True,True,False,1.3,False
H4C6,HIST1H4F,,cancer-testis antigen,ENSG00000274618,daSilva2017_protein,False,False,Supported,False,False,adipose tissue; appendix; bone marrow; breast; bronchus; caudate; cerebellum; cerebral cortex; cervix; colon; duodenum; endometrium 1; endometrium 2; epididymis; esophagus; fallopian tube; gallbladder; heart muscle; hippocampus; kidney; liver; lung; lymph node; nasopharynx; oral mucosa; ovary; pancreas; parathyroid gland; placenta; prostate; rectum; salivary gland; seminal vesicle; skeletal muscle; skin 1; skin 2; small intestine; smooth muscle; soft tissue 1; soft tissue 2; spleen; stomach 1; stomach 2; testis; thyroid gland; tonsil; urinary bladder; vagina,0.1176,0.375,1.0,1.0,ENST00000244537,protein_coding,True,True,True,True,False,0.8,False
HMGB4,,,cancer-testis antigen,ENSG00000176256,daSilva2017_protein,True,False,Enhanced,True,False,testis,0.9997,0.9997,1.0,1.0,ENST00000519684,protein_coding,True,True,True,True,True,361.1,False
HNRNPCL1,,,cancer-testis antigen,ENSG00000179172,daSilva2017_protein,no data,no data,no data,False,False,no data,1.0,1.0,1.0,1.0,ENST00000317869,protein_coding,True,True,True,True,True,0.1,True
HNRNPCL2,,,cancer-testis antigen,ENSG00000275774,daSilva2017_protein,no data,no data,no data,False,False,no data,,,1.0,1.0,ENST00000621994,protein_coding,True,True,True,True,True,0.0,True
IGF2BP1,,,cancer-testis antigen,ENSG00000159217,daSilva2017_protein,False,False,Enhanced,False,False,bronchus; kidney; ovary; testis,0.8319,0.8319,0.978,0.978,ENST00000290341,protein_coding,True,True,True,False,False,5.3,False
IGLL1,,,cancer-testis antigen,ENSG00000128322,daSilva2017_protein;CTexploreR_CTP,False,False,Enhanced,False,True,bone marrow; testis,0.2433,0.3108,0.2593,0.323,ENST00000330377,protein_coding,False,False,False,False,False,69.3,False
IL4I1,,,cancer-testis antigen,ENSG00000104951,daSilva2017_protein,False,False,Enhanced,False,True,appendix; bone marrow; bronchus; cerebellum; colon; duodenum; fallopian tube; kidney; lung; lymph node; nasopharynx; placenta; rectum; skin 1; skin 2; small intestine; spleen; testis; tonsil,0.2336,0.2534,0.3206,0.338,ENST00000341114,protein_coding,False,False,False,False,False,26.0,False
KIF24,,,cancer-testis antigen,ENSG00000186638,daSilva2017_protein,no data,no data,no data,False,True,no data,0.2396,0.298,0.5798,0.6409,ENST00000402558,protein_coding,False,False,False,False,False,10.9,False
KIF4B,,,cancer-testis antigen,ENSG00000226650,daSilva2017_protein,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000435029,protein_coding,True,True,True,True,True,3.4,False
KRT28,,,cancer-testis antigen,ENSG00000173908,daSilva2017_protein,False,False,Enhanced,False,False,hair,0.016,0.016,0.0885,0.0885,ENST00000306658,protein_coding,False,False,False,False,False,11.3,False
KRTAP13-1,,,cancer-testis antigen,ENSG00000198390,daSilva2017_protein,no data,no data,no data,False,False,no data,0.0222,0.0222,0.1149,0.1149,ENST00000355459,protein_coding,False,False,False,False,False,8.7,False
KRTAP9-2,,,cancer-testis antigen,ENSG00000239886,daSilva2017_protein,no data,no data,no data,False,False,no data,0.0031,0.0031,0.0315,0.0315,ENST00000377721,protein_coding,False,False,False,False,False,31.7,False
LALBA,,,cancer-testis antigen,ENSG00000167531,daSilva2017_protein,False,False,Enhanced,False,False,lactating breast,0.001,0.001,0.001,0.001,ENST00000549817,protein_coding,False,False,False,False,False,2109.2,False
NLRP10,,,cancer-testis antigen,ENSG00000182261,daSilva2017_protein,False,False,Uncertain,False,False,adipose tissue; adrenal gland; appendix; bone marrow; breast; bronchus; caudate; cerebellum; cerebral cortex; cervix; colon; duodenum; endometrium 1; endometrium 2; epididymis; esophagus; fallopian tube; gallbladder; heart muscle; hippocampus; kidney; liver; lung; lymph node; nasopharynx; oral mucosa; ovary; pancreas; parathyroid gland; placenta; prostate; rectum; salivary gland; seminal vesicle; skeletal muscle; skin 1; skin 2; small intestine; soft tissue 1; soft tissue 2; spleen; stomach 1; stomach 2; testis; thyroid gland; tonsil; urinary bladder; vagina,0.0286,0.0286,0.1923,0.1923,ENST00000691676,protein_coding,False,False,False,False,False,4.8,False
NT5C1B-RDH14,,,cancer-testis antigen,ENSG00000250741,daSilva2017_protein,no data,no data,no data,True,False,no data,0.9938,0.9938,1.0,1.0,ENST00000444297,protein_coding,True,True,True,True,True,16.1,False
NUTM2F,,,cancer-testis antigen,ENSG00000130950,daSilva2017_protein,no data,no data,no data,True,False,no data,0.9,0.9,1.0,1.0,ENST00000253262,protein_coding,True,True,True,True,True,1.8,True
