Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,rna_max_ntpm,never_expressed
MAGEA9,,,cancer-testis antigen,ENSG00000123584,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000243314,protein_coding,True,True,True,True,True,3.6,False
MAGEA9B,,,cancer-testis antigen,ENSG00000267978,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.9346,0.9346,1.0,1.0,ENST00000595065,protein_coding,True,True,True,True,True,9.7,False
MAGEA10,,,cancer-testis antigen,ENSG00000124260,CTpedia;CTexploreR_CT,True,False,Approved,True,False,placenta; testis,0.8529,0.8529,1.0,1.0,ENST00000370323,protein_coding,True,True,True,True,True,9.1,False
MAGEA11,,,cancer-testis antigen,ENSG00000185247,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,False,False,no data,0.1938,0.1938,0.1807,0.1807,ENST00000333104,protein_coding,False,False,False,False,False,20.5,False
MAGEB1,,,cancer-testis antigen,ENSG00000214107,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9677,0.9677,1.0,1.0,ENST00000378981,protein_coding,True,True,True,True,True,15.0,False
MAGEB2,,,cancer-testis antigen,ENSG00000099399,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9932,0.9932,1.0,1.0,ENST00000378988,protein_coding,True,True,True,True,True,28.2,False
MAGEB3,,,cancer-testis antigen,ENSG00000198798,CTpedia;daSilva2017,False,False,Approved,False,False,epididymis; testis,0.2207,0.2207,0.2311,0.2311,ENST00000361644,protein_coding,False,False,False,False,False,17.3,False
MAGEB5,,,cancer-testis antigen,ENSG00000188408,CTpedia;daSilva2017,no data,no data,no data,False,False,no data,1.0,1.0,1.0,1.0,ENST00000602297,protein_coding,True,True,True,True,True,0.9,True
MAGEB6B,,,cancer-testis antigen,ENSG00000232030,CTpedia,no data,no data,no data,False,False,no data,1.0,1.0,1.0,1.0,ENST00000416929,protein_coding,True,True,True,True,True,0.5,True
MAGEB16,,,cancer-testis antigen,ENSG00000189023,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000399988,protein_coding,True,True,True,True,True,3.1,False
MAGEB18,,,cancer-testis antigen,ENSG00000176774,CTpedia;daSilva2017;daSilva2017_protein,True,False,Enhanced,False,False,testis,1.0,1.0,1.0,1.0,ENST00000325250,protein_coding,True,True,True,True,True,0.7,False
MAGEC1,,,cancer-testis antigen,ENSG00000155495,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Enhanced,True,False,testis,0.9861,0.9861,1.0,1.0,ENST00000285879,protein_coding,True,True,True,True,True,7.1,False
MAGEC2,,,cancer-testis antigen,ENSG00000046774,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000247452,protein_coding,True,True,True,True,True,19.0,False
DAZ1,,,cancer-testis antigen,ENSG00000188120,CTpedia;daSilva2017,True,False,Supported,True,False,testis,0.9091,0.9091,1.0,1.0,ENST00000405239,protein_coding,True,True,True,True,True,2.0,False
DAZ3,,,cancer-testis antigen,ENSG00000187191,CTpedia;daSilva2017,True,False,Approved,True,False,testis,0.6087,0.6087,1.0,1.0,ENST00000446723,protein_coding,True,True,True,True,True,1.4,False
DAZL,,,cancer-testis antigen,ENSG00000092345,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9664,0.9664,1.0,1.0,ENST00000454457,protein_coding,True,True,True,True,True,77.3,False
BSPH1,,,cancer-testis antigen,ENSG00000188334,CTpedia;daSilva2017,False,False,Enhanced,False,False,epididymis,0.0,0.0,0.0026,0.0026,ENST00000344839,protein_coding,False,False,False,False,False,373.6,False
SPAG11A,,,cancer-testis antigen,ENSG00000178287,CTpedia;daSilva2017,False,False,Supported,False,False,epididymis,0.0,0.0,0.0002,0.0002,ENST00000528033,protein_coding,False,False,False,False,False,4639.4,False
SPANXA1,,,cancer-testis antigen,ENSG00000198021,CTpedia;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000370519,protein_coding,True,True,True,True,True,14.5,False
SPANXA2,,,cancer-testis antigen,ENSG00000203926,CTpedia;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000370518,protein_coding,True,True,True,True,True,19.3,False
SPANXB1,,,cancer-testis antigen,ENSG00000227234,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Supported,False,False,testis,0.9785,0.9785,1.0,1.0,ENST00000449283,protein_coding,True,True,True,True,True,86.3,False
SPANXC,,,cancer-testis antigen,ENSG00000198573,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000358993,protein_coding,True,True,True,True,True,30.2,False
SPANXD,,,cancer-testis antigen,ENSG00000196406,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000370515,protein_coding,True,True,True,True,True,22.6,False
SPANXN1,,,cancer-testis antigen,ENSG00000203923,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000370493,protein_coding,True,True,True,True,True,1.4,True
SPANXN2,,,cancer-testis antigen,ENSG00000268988,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000598475,protein_coding,True,True,True,True,True,3.4,False
SPANXN3,,,cancer-testis antigen,ENSG00000189252,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9734,0.9734,1.0,1.0,ENST00000370503,protein_coding,True,True,True,True,True,47.6,False
SPANXN4,,,cancer-testis antigen,ENSG00000189326,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000370504,protein_coding,True,True,True,True,True,25.2,False
SPANXN5,,,cancer-testis antigen,ENSG00000204363,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000375511,protein_coding,True,True,True,True,True,16.1,False
ODF1,,,cancer-testis antigen,ENSG00000155087,CTpedia;daSilva2017;daSilva2017_protein,True,False,Approved,True,False,testis,0.9915,0.9915,1.0,1.0,ENST00000285402,protein_coding,True,True,True,True,True,386.0,False
ODF3,CIMAP1A,,cancer-testis antigen,ENSG00000177947,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9579,0.9579,1.0,1.0,ENST00000325113,protein_coding,True,True,True,True,True,9.1,False
ODF4,,,cancer-testis antigen,ENSG00000184650,CTpedia;daSilva2017;daSilva2017_protein,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000328248,protein_coding,True,True,True,True,True,12.7,False
ROPN1B,,,cancer-testis antigen,ENSG00000114547,CTpedia;CTexploreR_CTP;daSilva2017,False,False,Supported,False,False,epididymis; testis,0.6617,0.6617,0.7134,0.7134,ENST00000251776,protein_coding,False,False,False,False,False,208.3,False
SPAM1,,,cancer-testis antigen,ENSG00000106304,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9444,0.9444,1.0,1.0,ENST00000340011,protein_coding,True,True,True,True,True,16.9,False
SPATA4,,,cancer-testis antigen,ENSG00000150628,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.8028,0.8028,0.9063,0.9063,ENST00000280191,protein_coding,True,True,False,False,True,135.4,False
SPATA12,,,cancer-testis antigen,ENSG00000186451,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9005,0.9005,1.0,1.0,ENST00000334325,protein_coding,True,True,True,True,True,19.9,False
SPATA16,,,cancer-testis antigen,ENSG00000144962,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000351008,protein_coding,True,True,True,True,True,57.8,False
SPATA19,,,cancer-testis antigen,ENSG00000166118,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9909,0.9909,1.0,1.0,ENST00000299140,protein_coding,True,True,True,True,True,130.9,False
SPATA22,,,cancer-testis antigen,ENSG00000141255,CTpedia;CTexploreR_CTP;daSilva2017;daSilva2017_protein,no data,no data,no data,False,False,no data,0.9216,0.9217,0.9921,0.9921,ENST00000541913,protein_coding,True,True,True,True,True,223.4,False
SPATA31E1,,,cancer-testis antigen,ENSG00000177992,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000325643,protein_coding,True,True,True,True,True,7.3,False
SPATA31A1,,,cancer-testis antigen,ENSG00000204849,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000377647,protein_coding,True,True,True,True,True,8.7,False
SPATA31A3,,,cancer-testis antigen,ENSG00000275969,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000428649,protein_coding,True,True,True,True,True,4.6,False
SPATA31A5,,,cancer-testis antigen,ENSG00000276581,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000437823,protein_coding,True,True,True,True,True,1.0,True
SPATA31A6,,,cancer-testis antigen,ENSG00000185775,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000332857,protein_coding,True,True,True,True,True,1.9,True
SPATA31A7,,,cancer-testis antigen,ENSG00000276040,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000619167,protein_coding,True,True,True,True,True,2.8,False
SPATA31D3,,,cancer-testis antigen,ENSG00000186788,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000445385,protein_coding,True,True,True,True,True,7.8,False
SPATA31D4,,,cancer-testis antigen,ENSG00000189357,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000419782,protein_coding,True,True,True,True,True,5.9,False
SPATA32,,,cancer-testis antigen,ENSG00000184361,CTpedia;daSilva2017,True,False,Approved,True,False,testis,0.9443,0.9443,1.0,1.0,ENST00000331780,protein_coding,True,True,True,True,True,42.4,False
SPACA1,,,cancer-testis antigen,ENSG00000118434,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9975,0.9975,1.0,1.0,ENST00000237201,protein_coding,True,True,True,True,True,40.7,False
SPACA3,,,cancer-testis antigen,ENSG00000141316,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.826,0.826,0.8584,0.8584,ENST00000580599,protein_coding,True,False,False,False,True,121.8,False
CATSPERD,,,cancer-testis antigen,ENSG00000174898,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000381624,protein_coding,True,True,True,True,True,8.4,False
CATSPER4,,,cancer-testis antigen,ENSG00000188782,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.982,0.982,1.0,1.0,ENST00000456354,protein_coding,True,True,True,True,True,10.9,False
CTAG1A,,,cancer-testis antigen,ENSG00000268651,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Enhanced,True,False,testis,0.9878,0.9878,1.0,1.0,ENST00000593606,protein_coding,True,True,True,True,True,8.1,False
CTAG1B,,,cancer-testis antigen,ENSG00000184033,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9367,0.9367,1.0,1.0,ENST00000328435,protein_coding,True,True,True,True,True,7.4,False
CTAGE1,,,cancer-testis antigen,ENSG00000212710,CTpedia;daSilva2017;daSilva2017_protein,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000391403,protein_coding,True,True,True,True,True,10.0,False
CTAGE6,,,cancer-testis antigen,ENSG00000271321,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9527,0.9527,1.0,1.0,ENST00000470691,protein_coding,True,True,True,True,True,14.0,False
CTAGE9,,,cancer-testis antigen,ENSG00000236761,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9,0.9,1.0,1.0,ENST00000314099,protein_coding,True,True,True,True,True,8.1,False
SSX1,,,cancer-testis antigen,ENSG00000126752,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Supported,True,False,testis,0.9,0.9,1.0,1.0,ENST00000376919,protein_coding,True,True,True,True,True,7.2,False
SSX2,,,cancer-testis antigen,ENSG00000241476,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Enhanced,True,False,testis,0.9878,0.9878,1.0,1.0,ENST00000337502,protein_coding,True,True,True,True,True,16.2,False
SSX2B,,,cancer-testis antigen,ENSG00000268447,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.9706,0.9706,1.0,1.0,ENST00000616191,protein_coding,True,True,True,True,True,16.5,False
SSX3,,,cancer-testis antigen,ENSG00000165584,CTpedia;daSilva2017;daSilva2017_protein,True,False,Supported,True,False,testis,0.9776,0.9776,1.0,1.0,ENST00000298396,protein_coding,True,True,True,True,True,13.1,False
SSX4,,,cancer-testis antigen,ENSG00000268009,CTpedia;daSilva2017,True,False,Supported,True,False,testis,0.8611,0.8611,1.0,1.0,ENST00000620320,protein_coding,True,True,True,True,True,3.1,False
TSPY1,,,cancer-testis antigen,ENSG00000258992,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000451548,protein_coding,True,True,True,True,True,7.1,False
TSPY2,,,cancer-testis antigen,ENSG00000168757,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000320701,protein_coding,True,True,True,True,True,7.4,False
TSPY3,,,cancer-testis antigen,ENSG00000228927,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.8056,0.8056,1.0,1.0,ENST00000457222,protein_coding,True,True,True,True,True,2.9,False
TSPY4,,,cancer-testis antigen,ENSG00000233803,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.9845,0.9845,1.0,1.0,ENST00000426950,protein_coding,True,True,True,True,True,31.8,False
TSPY8,,,cancer-testis antigen,ENSG00000229549,CTpedia;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000287721,protein_coding,True,True,True,True,True,1.2,False
TSPY9,TSPY9P,,cancer-testis antigen,ENSG00000238074,CTpedia;CTexploreR_CT,False,False,Supported,True,False,adrenal gland; stomach 1; stomach 2; testis,0.9797,0.9797,1.0,1.0,ENST00000440215,protein_coding,True,True,True,True,False,14.5,False
TSPY10,,,cancer-testis antigen,ENSG00000236424,CTpedia;daSilva2017,True,False,Supported,True,False,testis,0.95,0.95,1.0,1.0,ENST00000428845,protein_coding,True,True,True,True,True,1.9,False
TSPYL6,,,cancer-testis antigen,ENSG00000178021,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.963,0.963,1.0,1.0,ENST00000317802,protein_coding,True,True,True,True,True,20.8,False
MORC1,,,cancer-testis antigen,ENSG00000114487,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9181,0.9181,1.0,1.0,ENST00000232603,protein_coding,True,True,True,True,True,15.5,False
TFDP3,,,cancer-testis antigen,ENSG00000183434,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9762,0.9762,1.0,1.0,ENST00000310125,protein_coding,True,True,True,True,True,4.1,False
LUZP4,,,cancer-testis antigen,ENSG00000102021,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000371920,protein_coding,True,True,True,True,True,7.9,False
DKKL1,,,cancer-testis antigen,ENSG00000104901,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.9517,0.9517,0.9994,0.9994,ENST00000594268,protein_coding,True,True,True,True,True,335.2,False
SPO11,,,cancer-testis antigen,ENSG00000054796,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000371263,protein_coding,True,True,True,True,True,8.2,False
CRISP2,,,cancer-testis antigen,ENSG00000124490,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.8602,0.8602,0.8882,0.8882,ENST00000616725,protein_coding,True,False,False,False,True,490.9,False
FMR1NB,,,cancer-testis antigen,ENSG00000176988,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9947,0.9947,1.0,1.0,ENST00000370467,protein_coding,True,True,True,True,True,56.5,False
TPTE,,,cancer-testis antigen,ENSG00000274391,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9937,0.9937,1.0,1.0,ENST00000622113,protein_coding,True,True,True,True,True,109.7,False
CT45A2,,,cancer-testis antigen,ENSG00000271449,CTpedia;daSilva2017;daSilva2017_protein,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000612907,protein_coding,True,True,True,True,True,0.2,False
CT45A7,,,cancer-testis antigen,ENSG00000273696,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,0.6667,0.6667,1.0,1.0,ENST00000610598,protein_coding,True,True,True,True,True,0.4,False
CT47A1,,,cancer-testis antigen,ENSG00000236371,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000433030,protein_coding,True,True,True,True,True,0.5,False
CT47A2,,,cancer-testis antigen,ENSG00000242362,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000458218,protein_coding,True,True,True,True,True,0.1,False
CT47A3,,,cancer-testis antigen,ENSG00000236126,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000441330,protein_coding,True,True,True,True,True,0.1,False
CT47A4,,,cancer-testis antigen,ENSG00000230594,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000415858,protein_coding,True,True,True,True,True,0.1,False
CT47A5,,,cancer-testis antigen,ENSG00000237957,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000439466,protein_coding,True,True,True,True,True,0.1,False
CT47A6,,,cancer-testis antigen,ENSG00000226023,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000419194,protein_coding,True,True,True,True,True,0.4,False
CT47A7,,,cancer-testis antigen,ENSG00000228517,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000434883,protein_coding,True,True,True,True,True,0.6,False
CT47A11,,,cancer-testis antigen,ENSG00000226929,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000457020,protein_coding,True,True,True,True,True,0.9,False
CT47A12,,,cancer-testis antigen,ENSG00000226685,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000419982,protein_coding,True,True,True,True,True,1.1,False
CT47B1,,,cancer-testis antigen,ENSG00000236446,CTpedia;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000371311,protein_coding,True,True,True,True,True,6.7,False
CT83,,,cancer-testis antigen,ENSG00000204019,CTpedia;CTexploreR_CTP;daSilva2017;daSilva2017_protein,no data,no data,no data,False,False,no data,0.9555,0.9555,0.9749,0.9749,ENST00000371894,protein_coding,True,True,True,False,False,62.2,False
TEX13A,,,cancer-testis antigen,ENSG00000268629,CTpedia;daSilva2017,True,False,Enhanced,True,False,placenta; testis,1.0,1.0,1.0,1.0,ENST00000600991,protein_coding,True,True,True,True,True,10.3,False
TEX19,,,cancer-testis antigen,ENSG00000182459,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000333437,protein_coding,True,True,True,True,True,30.0,False
TEX33,CIMIP4,,cancer-testis antigen,ENSG00000185264,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9989,0.9989,1.0,1.0,ENST00000381821,protein_coding,True,True,True,True,True,88.9,False
TEX35,,,cancer-testis antigen,ENSG00000240021,CTpedia;daSilva2017,True,False,Approved,False,False,testis,0.88,0.8802,0.9778,0.9778,ENST00000367639,protein_coding,True,True,True,False,True,114.7,False
TEX37,SPMIP9,,cancer-testis antigen,ENSG00000172073,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000303254,protein_coding,True,True,True,True,True,82.6,False
TEX38,,,cancer-testis antigen,ENSG00000186118,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9783,0.9783,1.0,1.0,ENST00000564071,protein_coding,True,True,True,True,True,377.8,False
TEX44,,,cancer-testis antigen,ENSG00000177673,CTpedia,True,False,Enhanced,True,False,testis,0.998,0.998,1.0,1.0,ENST00000313965,protein_coding,True,True,True,True,True,148.2,False
TEX101,,,cancer-testis antigen,ENSG00000131126,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,True,testis,0.8825,0.8834,0.9879,0.9879,ENST00000602198,protein_coding,True,True,True,False,True,114.4,False
PATE1,,,cancer-testis antigen,ENSG00000171053,CTpedia,False,False,Approved,False,False,epididymis; seminal vesicle; testis,0.0,0.0,0.0005,0.0005,ENST00000305738,protein_coding,False,False,False,False,False,1824.1,False
PATE4,,,cancer-testis antigen,ENSG00000237353,CTpedia,True,False,Approved,False,False,testis,0.004,0.004,0.0084,0.0084,ENST00000457514,protein_coding,False,False,False,False,False,103.1,False
PRSS54,,,cancer-testis antigen,ENSG00000103023,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.995,0.995,1.0,1.0,ENST00000219301,protein_coding,True,True,True,True,True,40.2,False
PHF7,,,cancer-testis antigen,ENSG00000010318,CTpedia;daSilva2017,True,False,Enhanced,False,True,testis,0.9126,0.9128,0.945,0.9451,ENST00000327906,protein_coding,True,True,False,False,True,1181.3,False
SLCO6A1,,,cancer-testis antigen,ENSG00000205359,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000506729,protein_coding,True,True,True,True,True,29.4,False
TEKT5,,,cancer-testis antigen,ENSG00000153060,CTpedia;CTexploreR_CTP;daSilva2017,no data,no data,no data,True,False,no data,0.8067,0.8067,1.0,1.0,ENST00000283025,protein_coding,True,True,True,True,True,31.2,False
DMRT1,,,cancer-testis antigen,ENSG00000137090,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9812,0.9812,1.0,1.0,ENST00000382276,protein_coding,True,True,True,True,True,26.1,False
DMRTC2,,,cancer-testis antigen,ENSG00000142025,CTpedia;daSilva2017,True,False,Uncertain,True,False,testis,0.9475,0.9475,1.0,1.0,ENST00000269945,protein_coding,True,True,True,True,True,39.7,False
DNAJB8,,,cancer-testis antigen,ENSG00000179407,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000469083,protein_coding,True,True,True,True,True,49.7,False
SAGE1,,,cancer-testis antigen,ENSG00000181433,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.8393,0.8393,1.0,1.0,ENST00000324447,protein_coding,True,True,True,True,True,4.7,False
LIPI,,,cancer-testis antigen,ENSG00000188992,CTpedia,no data,no data,no data,False,False,no data,0.0002,0.0002,0.0024,0.0024,ENST00000681601,protein_coding,False,False,False,False,False,409.2,False
ADAM2,,,cancer-testis antigen,ENSG00000104755,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000265708,protein_coding,True,True,True,True,True,37.0,False
PLAC1,,,cancer-testis antigen,ENSG00000170965,CTpedia,True,False,Enhanced,True,False,placenta,0.9691,0.9691,1.0,1.0,ENST00000359237,protein_coding,True,True,True,True,True,27.0,False
CABS1,,,cancer-testis antigen,ENSG00000145309,CTpedia;daSilva2017,True,False,Enhanced,False,False,testis,0.9628,0.9628,0.9727,0.9727,ENST00000273936,protein_coding,True,True,True,False,True,103.4,False
FATE1,,,cancer-testis antigen,ENSG00000147378,CTpedia;daSilva2017,True,False,Enhanced,True,True,testis,0.9651,0.9655,1.0,1.0,ENST00000370350,protein_coding,True,True,True,True,True,232.3,False
HORMAD1,,,cancer-testis antigen,ENSG00000143452,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.879,0.879,0.9338,0.9338,ENST00000361824,protein_coding,True,True,False,False,True,114.3,False
ACRBP,,,cancer-testis antigen,ENSG00000111644,CTpedia,True,False,Enhanced,False,True,testis,0.6829,0.6852,0.7563,0.7576,ENST00000229243,protein_coding,False,False,False,False,False,275.6,False
TSKS,,,cancer-testis antigen,ENSG00000126467,CTpedia,True,False,Enhanced,False,False,testis,0.8837,0.884,0.9898,0.9898,ENST00000246801,protein_coding,True,True,True,False,True,116.7,False
CCDC42,,,cancer-testis antigen,ENSG00000161973,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9809,0.9809,1.0,1.0,ENST00000293845,protein_coding,True,True,True,True,True,92.4,False
ADAD1,,,cancer-testis antigen,ENSG00000164113,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000296513,protein_coding,True,True,True,True,True,115.6,False
RIMBP3,,,cancer-testis antigen,ENSG00000275793,CTpedia;daSilva2017,True,False,Supported,True,True,testis,0.8152,0.8205,1.0,1.0,ENST00000619918,protein_coding,True,True,True,True,True,27.6,False
TENT5D,,,cancer-testis antigen,ENSG00000174016,CTpedia,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000538312,protein_coding,True,True,True,True,True,3.3,False
PRAME,,,cancer-testis antigen,ENSG00000185686,CTpedia;CTexploreR_CTP;daSilva2017;daSilva2017_protein,True,False,Enhanced,False,False,testis,0.806,0.8063,0.8787,0.8787,ENST00000398743,protein_coding,True,False,False,False,True,102.2,False
PRAMEF18,,,cancer-testis antigen,ENSG00000279804,CTpedia,no data,no data,no data,False,False,no data,1.0,1.0,1.0,1.0,ENST00000624297,protein_coding,True,True,True,True,True,0.1,True
PRAMEF20,,,cancer-testis antigen,ENSG00000204478,CTpedia;daSilva2017,no data,no data,no data,False,False,no data,1.0,1.0,1.0,1.0,ENST00000602960,protein_coding,True,True,True,True,True,0.1,True
CBLL2,,,cancer-testis antigen,ENSG00000175809,CTpedia,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000323684,protein_coding,True,True,True,True,True,8.2,False
CPXCR1,,,cancer-testis antigen,ENSG00000147183,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9841,0.9841,1.0,1.0,ENST00000276127,protein_coding,True,True,True,True,True,6.2,False
TULP2,,,cancer-testis antigen,ENSG00000104804,CTpedia,no data,no data,no data,True,False,no data,0.8298,0.8298,1.0,1.0,ENST00000221399,protein_coding,True,True,True,True,True,30.4,False
EPPIN,,,cancer-testis antigen,ENSG00000101448,CTpedia;daSilva2017,True,False,Supported,False,False,testis,0.1974,0.1974,0.2034,0.2034,ENST00000354280,protein_coding,False,False,False,False,False,319.7,False
